collectionId,collectionName,releaseDate,trackCount,primaryGenreName,artworkUrl100,artworkUrl600
1476477499,The Seeger Sessions,2006-04-25T00:00:00Z,8,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/e5/5d/1a/e55d1a51-df72-643e-d071-a95877ba1013/886447896624.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/e5/5d/1a/e55d1a51-df72-643e-d071-a95877ba1013/886447896624.jpg/600x600bb.jpg
194944243,We Shall Overcome: The Seeger Sessions (American Land Edition),2006-04-25T07:00:00Z,18,Rock,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/08/4a/41/084a4180-472c-476b-78f1-ae23e8ccb236/dj.zcromhpc.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/08/4a/41/084a4180-472c-476b-78f1-ae23e8ccb236/dj.zcromhpc.jpg/600x600bb.jpg
1625368022,Live In Dublin,2007-06-05T07:00:00Z,28,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/c3/e9/64/c3e964d7-528c-8b7e-1327-7a429a2d44e3/196589152794.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/c3/e9/64/c3e964d7-528c-8b7e-1327-7a429a2d44e3/196589152794.jpg/600x600bb.jpg
1325275538,Magic,2007-09-25T07:00:00Z,12,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/55/61/a4/5561a4e0-9c02-5699-8d9c-756939e7194c/886446843957.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/55/61/a4/5561a4e0-9c02-5699-8d9c-756939e7194c/886446843957.jpg/600x600bb.jpg
272106425,Girls In Their Summer Clothes - Single,2008-01-15T08:00:00Z,2,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/da/7f/2c/da7f2c73-e08c-f423-686f-60895f19324e/888880433435.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/da/7f/2c/da7f2c73-e08c-f423-686f-60895f19324e/888880433435.jpg/600x600bb.jpg
284669399,Magic Tour Highlights - EP,2008-07-15T07:00:00Z,4,Rock,https://is1-ssl.mzstatic.com/image/thumb/Features/v4/74/01/ba/7401baf0-1e1c-b431-469f-9c5de533ccf3/dj.hqybfkku.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Features/v4/74/01/ba/7401baf0-1e1c-b431-469f-9c5de533ccf3/dj.hqybfkku.jpg/600x600bb.jpg
404071615,Working On a Dream,2009-01-27T08:00:00Z,13,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/e5/22/16/e52216a6-5bdd-6f2d-6e46-aa48054d3957/mzi.nrrejozz.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/e5/22/16/e52216a6-5bdd-6f2d-6e46-aa48054d3957/mzi.nrrejozz.jpg/600x600bb.jpg
1377892928,What Love Can Do - Single,2009-03-27T07:00:00Z,2,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/16/43/fb/1643fb61-e028-e3b9-b88b-12fbd58be2fe/886446719986.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/16/43/fb/1643fb61-e028-e3b9-b88b-12fbd58be2fe/886446719986.jpg/600x600bb.jpg
808429658,"Wrecking Ball (Live at Giants Stadium, E. Rutherford, NJ - October 2009) - Single",2009-10-20T07:00:00Z,1,Arena Rock,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/f9/25/21/f92521d9-58c1-d860-7606-0bc6fcc66db5/884977407693.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/f9/25/21/f92521d9-58c1-d860-7606-0bc6fcc66db5/884977407693.jpg/600x600bb.jpg
1471070263,Thrill Hill Vault: 1976-1978 (Live Videos),2010-01-01T00:00:00Z,12,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/41/63/b8/4163b874-f8b5-eddc-6be6-f1b2df44e193/886447801383.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/41/63/b8/4163b874-f8b5-eddc-6be6-f1b2df44e193/886447801383.jpg/600x600bb.jpg
1501266697,London Calling: Live in Hyde Park (Video Album),2010-06-22T07:00:00Z,28,Arena Rock,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/81/b6/e9/81b6e9b7-80d1-f4bb-e133-0931c980a730/886448225331.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/81/b6/e9/81b6e9b7-80d1-f4bb-e133-0931c980a730/886448225331.jpg/600x600bb.jpg
400713084,The Promise,2010-11-16T08:00:00Z,21,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a0/64/15/a06415c0-eb8d-027d-0415-9e247ed2fcc9/884977772814.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a0/64/15/a06415c0-eb8d-027d-0415-9e247ed2fcc9/884977772814.jpg/600x600bb.jpg
1487043316,Thrill Hill Vault Houston '78 Bootleg: House Cut (Video Album),2010-11-16T08:00:00Z,26,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/c4/30/5c/c4305c86-cb4e-b0f6-087d-371f34ff9348/886447917466.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/c4/30/5c/c4305c86-cb4e-b0f6-087d-371f34ff9348/886447917466.jpg/600x600bb.jpg
1389930426,"Gotta Get That Feeling / Racing In the Street ('78) [Live from The Carousel, Asbury Park] - Single",2011-04-12T07:00:00Z,2,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/57/2b/96/572b96d8-25b0-a64c-f2c5-72c6bb57f17d/886447140444.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/57/2b/96/572b96d8-25b0-a64c-f2c5-72c6bb57f17d/886447140444.jpg/600x600bb.jpg
1492375968,"Live At The Carousel, Asbury Park, NJ - 2010",2011-04-16T07:00:00Z,5,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/36/2b/8e/362b8e70-1238-3198-46d9-fc9f93f37d50/886448215332.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/36/2b/8e/362b8e70-1238-3198-46d9-fc9f93f37d50/886448215332.jpg/600x600bb.jpg
507103631,Wrecking Ball,2012-03-05T08:00:00Z,13,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/eb/e1/3e/ebe13ef8-2c72-6cd6-8c3a-daf0e08ddceb/886443344778.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/eb/e1/3e/ebe13ef8-2c72-6cd6-8c3a-daf0e08ddceb/886443344778.jpg/600x600bb.jpg
1377900152,Rocky Ground - Single,2012-04-17T07:00:00Z,2,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/34/32/2a/34322aa2-39ef-50cd-224b-50859046e04a/886446719993.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/34/32/2a/34322aa2-39ef-50cd-224b-50859046e04a/886446719993.jpg/600x600bb.jpg
741055385,High Hopes,2014-01-14T08:00:00Z,12,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/93/27/9e/93279e05-c7c8-dd4c-514c-9b245171c5a9/886444329491.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/93/27/9e/93279e05-c7c8-dd4c-514c-9b245171c5a9/886444329491.jpg/600x600bb.jpg
1466320398,Born In the U.S.A. Live: London 2013 (Video Album),2014-01-14T08:00:00Z,13,Arena Rock,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/57/f1/40/57f140f3-31d2-1fe7-d84f-99c9ae42a9a5/886447781722.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/57/f1/40/57f140f3-31d2-1fe7-d84f-99c9ae42a9a5/886447781722.jpg/600x600bb.jpg
857968854,American Beauty - EP,2014-04-19T07:00:00Z,4,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/3b/62/ef/3b62ef60-08ad-6a83-7268-1448d91ab610/886444471220.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/3b/62/ef/3b62ef60-08ad-6a83-7268-1448d91ab610/886444471220.jpg/600x600bb.jpg
918626472,"The Album Collection, Vol. 1 (1973-1984)",2014-11-17T08:00:00Z,76,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/04/64/84/0464846c-a00d-dcc2-d0f9-60d37765fce0/886444840705.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/04/64/84/0464846c-a00d-dcc2-d0f9-60d37765fce0/886444840705.jpg/600x600bb.jpg
1136909069,Chapter and Verse,2016-09-23T07:00:00Z,18,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a6/af/41/a6af41ed-4b4a-b638-834c-26ab3c035d24/886446014920.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a6/af/41/a6af41ed-4b4a-b638-834c-26ab3c035d24/886446014920.jpg/600x600bb.jpg
1533360488,That's What Makes Us Great (feat. Bruce Springsteen) - Single,2017-04-17T07:00:00Z,1,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/d3/cc/8e/d3cc8e87-31e3-eddf-496b-1776c51ad018/195497293575.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/d3/cc/8e/d3cc8e87-31e3-eddf-496b-1776c51ad018/195497293575.jpg/600x600bb.jpg
1443014354,The Live Series: Songs of the Road,2018-11-01T07:00:00Z,15,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/38/1b/b6/381bb6f1-d410-8e34-94ec-b7d736ba366d/886447429891.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/38/1b/b6/381bb6f1-d410-8e34-94ec-b7d736ba366d/886447429891.jpg/600x600bb.jpg
1682345328,The Live Series Collection,2018-11-29T08:00:00Z,165,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/cd/89/73/cd897323-4c1b-a99f-319c-88c69df3ca26/196871050661.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/cd/89/73/cd897323-4c1b-a99f-319c-88c69df3ca26/196871050661.jpg/600x600bb.jpg
1440067297,Springsteen on Broadway,2018-12-14T08:00:00Z,30,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/63/76/86/6376864c-eee4-14f2-ad64-28c1b5aab8e9/886447357644.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/63/76/86/6376864c-eee4-14f2-ad64-28c1b5aab8e9/886447357644.jpg/600x600bb.jpg
1449203693,The Live Series: Songs of Friendship,2019-01-25T08:00:00Z,15,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/d9/b7/ee/d9b7ee80-6b6c-ee3d-6917-d7efdfce78f5/886447514948.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/d9/b7/ee/d9b7ee80-6b6c-ee3d-6917-d7efdfce78f5/886447514948.jpg/600x600bb.jpg
1456652248,The Live Series: Songs of Hope,2019-03-29T07:00:00Z,15,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/13/3c/11/133c11eb-d67e-79a1-c478-36f97f80f4c4/886447589977.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/13/3c/11/133c11eb-d67e-79a1-c478-36f97f80f4c4/886447589977.jpg/600x600bb.jpg
1476889432,The Live Series: Songs of Love,2019-06-13T07:00:00Z,15,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/7c/43/be/7c43be03-0714-6f3e-e2e5-b29180b3277e/886447850190.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/7c/43/be/7c43be03-0714-6f3e-e2e5-b29180b3277e/886447850190.jpg/600x600bb.jpg
1459884961,Western Stars,2019-06-14T07:00:00Z,13,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a4/ca/24/a4ca24ab-c77c-c088-f769-7685a0b8a046/886447562147.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a4/ca/24/a4ca24ab-c77c-c088-f769-7685a0b8a046/886447562147.jpg/600x600bb.jpg
1471088290,"The River Tour, Tempe 1980 Concert (Video Album)",2019-07-05T07:00:00Z,30,Arena Rock,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/c8/59/43/c859430f-1cbf-6ec1-2e5b-15dbff4aceff/886447801093.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/c8/59/43/c859430f-1cbf-6ec1-2e5b-15dbff4aceff/886447801093.jpg/600x600bb.jpg
1471237203,Blinded by the Light (Original Motion Picture Soundtrack),2019-08-09T07:00:00Z,24,Soundtrack,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/17/60/36/176036d2-fada-4b9a-6ae4-467b400f868b/886447810941.jpg/100x100bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/17/60/36/176036d2-fada-4b9a-6ae4-467b400f868b/886447810941.jpg/600x600bb.jpg
